Razón Social,Domicilio,Província,Localidad,,Teléfono,"N°
Certificado",Vencimiento
GNC ADROGUE DE MIRTA M. SERRANO,AV. HIPOLITO YRIGOYEN 13273,Buenos ,Adrogué,Adrogué,011-4293-4502,LCG-919,22/03/2026
AEB AMERICA S.R.L.,BECQUEREL 4454,Buenos ,Área de Promoción,Área de Promoción,0114726-1114,BVA/AT/0359- 22,10/08/2024
MECANICA,BROWN,Buenos,Bahía,Bahía Blanca,0291 4560124 /,QC GAS,17/06/2026
FUEGOSUR OBRAS Y SERVICIOS S.A,SANTA FE 1608,Buenos ,Bahia Blanca,Bahia Blanca,0291-456-0717,DC-G- 006-,20/09/2024
GNC SALUSTRI S.A.,DONADO 1567,Buenos ,Bahia Blanca,Bahia Blanca,0291-4535939,72305,29/12/2024
ODIMA S.A.,MONTEVIDEO 155,Buenos ,Bahia Blanca,Bahia Blanca,0291-4564413,BVA/AT/0288- 23,15/09/2025
"ENERGIAS LOFIORE
S.A.",AV.,Buenos,Bandfield,Bandfield,(011) 7538 7673,LCG-881,01/03/2026
TA GAS TECHNOLOGY SAU,JOSE INGENIEROS 2250,Buenos ,Béccar,Béccar,4892-1200,BVA/AT/0289- 23,15/09/2025
DISGAS S.A. ,CALLE 14,Buenos,Berazategui,Berazategui,4261-0057,LCG-561,28/10/2024
RED GAS S.A.,AV. LOS QUILMES 99,Buenos ,Bernal,Bernal,"35,329,675",HIT- PEC- 0810093,17/09/2024
SMART GAS S.R.L. ,AV. BARTOLOME MITRE,Buenos ,Caseros,Caseros,5292-6441,LCG-636,06/02/2025
B Y H S.R.L. ,GRAL.,Buenos,Caseros,Caseros,4750-6058,BVA/AT/0285-,15/09/2025
TECNO GNC S.R.L.,RUTA 8 KM,Buenos,Ciudad,Ciudad del Libertador,47691259,LCG-898,23/02/2026
METALURGICA NORTE,PTE. J.,Buenos,Ciudad,Ciudad,11-28252535,HIT-,21/05/2026
PELMAG S.A.,AV. GAONA,Buenos,Ciudadela,Ciudadela,4488-6242/1899/8686,DC-G-,29/12/2024
GNC MACRO S.A.,AV.,Buenos,Ciudadela,Ciudadela,011-4488-2855,BVA/AT/0163-,19/05/2026
